Executable name	Version	Application name	Application category	Number of devices	Number of executions	Average memory usage per execution [bytes]
shure.cwb.webapi.service.exe	4.1.3408.0	Shure Networked Systems Software	-	1	7	62839661
winword.exe	16.0.9126.2295	Microsoft Office 2016	Office	1	12	62806618
postman.exe	7.21.2.0	Postman	-	13	689	62805527
flashback player.exe	5.29.0.4318	FlashBack Express 5	-	17	113	62461765
excel.exe	15.0.5172.1000	Microsoft Office 2013	Office	1	10	62332017
connectivity.13459bf2-a64a-4e7a-9906-8629bb26eb17.blackstone (1).exe	1.0.0.0	NetworkOnboardingClient	-	1	2	62259200
powershell.exe	10.0.18362.1	Microsoft Windows Operating System	Operating System	9	4167	61991706
lync.exe	15.0.4569.1503	Microsoft Office 2013	Office	6	48	61990229
deltavw.exe	8.0.100.835	Workshare Compare	-	22	136	61943026
code.exe	1.43.0.0	Visual Studio Code	-	9	914	61925810
bx.identityserver.exe	1.0.0.0	Bx.IdentityServer	-	1	7	61865984
profisee.masterdatamaestro.ui.exe	5.1.1.9	Master Data Maestro	-	1	3	61865984
illustrator.exe	23.0.3.585	Adobe Illustrator 2019	-	1	6	61789525
msaccess.exe	16.0.11328.20368	Microsoft Office	Office	5	31	61788745
chrome.exe	73.0.3683.75	Google Chrome	Browser	1	766	61727040
reportingservicesservice.exe	2007.100.1600.22	Microsoft SQL Server	-	1	7	61678738
chrome.exe	80.0.3987.100	Google Chrome	Browser	2	13761	61633784
dwm.exe	10.0.17763.831	Microsoft Windows Operating System	Operating System	3200	35885	61602459
chrome.exe	81.0.4044.83	Google Chrome	Browser	1	408	61571072
paintstudio.view.exe	0.0.0.0	unknown	-	14	49	61422126
ptoneclk.exe	3909.3.1910.2500	Webex One-Click	Instant messaging & Video-conferencing	1	2	61341696
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	1	61341696
powerpnt.exe	14.0.4754.1000	Microsoft Office 2010	Office	3	33	61253632
bx.af.actaeon.api.exe	1.0.0.0	Bx.Af.Actaeon.API	-	1	19	61181496
sqlserver2017-ssei-expr.exe	14.1805.4072.1	Microsoft Sql Server Installer	-	1	30	61000908
python.exe	3.6.8150.1013	Python	-	2	13	60898067
searchui.exe	10.0.17134.1365	Microsoft Windows Operating System	Operating System	1	17	60745914
onenote.exe	16.0.11929.20562	Microsoft OneNote	-	6	26	60736748
vpnkit.exe	0.0.0.0	unknown	Unknown	4	31	60591203
vslshost.exe	12.0.30422.0	Microsoft Visual Studio 2013	-	1	3	60555264
dwm.exe	10.0.17134.1	Microsoft Windows Operating System	Operating System	2	16	60502835
waterfall.exe	3.20.2018.517	Waterfall Model	-	16	31	60487468
softwarehouse.nextgen.client.monitoringstation.exe	2.70.1004.3098	C·CURE 9000	-	3	15	60485358
searchindexer.exe	7.0.16299.785	Windows Search	Operating System	15	132	60353194
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	1	60293120
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	2	60293120
atmgr.exe	4002.900.2003.1500	AtMgr Module	Instant messaging & Video-conferencing	34	207	60277699
explorer.exe	10.0.16299.1653	Microsoft Windows Operating System	Operating System	504	5109	60276286
slack.exe	4.0.1.0	Slack	-	200	55684	60144651
gitahead.exe	0.0.0.0	unknown	-	2	8	60077787
spotify.exe	1.1.20.510	Spotify	-	1	11	60030976
dtswizard.exe	15.0.1900.63	Microsoft SQL Server	-	1	5	59926118
mattermost.exe	4.0.0.43	Mattermost	-	1	27	59856213
opera.exe	66.0.3515.95	Opera Internet Browser	Browser	1	321	59791698
waterfall.exe	3.20.2018.517	Waterfall Model	-	1	1	59768832
vmware-vmx.exe	10.0.4.53926	VMware Workstation	Virtualization	2	25	59637760
servicehub.identityhost.exe	2.1.44.57153	ServiceHub.Host.CLR.x86	-	1	45	59594069
devenv.exe	14.0.23107.0	Microsoft Visual Studio 2015	-	1	1	59506688
waterfall.exe	3.20.2018.517	Waterfall Model	-	1	3	59506688
egnytedrive.exe	3.0.1.79	unknown	Unknown	7	60	59501134
excel.exe	16.0.11929.20606	Microsoft Office	Office	4	103	59445521
mysqlworkbench.exe	8.0.19.0	MySQL Workbench	-	4	28	59160929
chrome.exe	77.0.3865.90	Google Chrome	Browser	4	4757	59150650
chrome.exe	76.0.3809.132	Google Chrome	Browser	9	8087	59104291
bplus.wtk2.exe	3035.1.80.14	Bloomberg LP bplus	-	3	96	59058635
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	1	58982400
dreamweaver.exe	19.2.1.11281	Adobe Dreamweaver 2019	-	1	2	58982400
hpscan.exe	49.6.4591.0	HP Digital Imaging	-	1	4	58982400
erl.exe	0.0.0.0	unknown	-	2	6836	58950723
lync.exe	16.0.11328.20554	Microsoft Office	Office	12	73	58822788
winword.exe	14.0.7228.5000	Microsoft Office 2010	Office	79	995	58754577
ashelper.exe	3911.0.1911.2100	WebEx Application Sharing	Instant messaging & Video-conferencing	1	1	58720256
mspub.exe	16.0.11328.20512	Microsoft Office	Office	2	2	58589184
lync.exe	16.0.11929.20606	Microsoft Office	Office	4	49	58500786
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	3	58458112
winword.exe	16.0.11328.20368	Microsoft Office	Office	11	160	58381937
fdsofcexec.exe	2016.10.199.56	FdsOfcExec	-	1	16	58359808
javaw.exe	8.0.1620.12	Java Platform SE 8	-	49	210	58350985
slack.exe	4.4.0.0	Slack	-	90	5622	58328044
microsoftpdfreader.exe	11.0.17763.379	Microsoft Edge	-	3	24	58218905
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	1	58195968
waterfall.exe	3.20.2018.517	Waterfall Model	-	1	1	58195968
remotedesktopmanagerfree.exe	2020.1.14.0	Remote Desktop Manager Free	-	1	8	58122240
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	1	57933824
pdapp.exe	10.0.0.49	Adobe Application Manager	-	4	62	57933824
node.exe	10.16.0.0	Node.js	-	4	81	57856095
perfwatson2.exe	16.0.29009.5	Microsoft Visual Studio	Development tool & Programming	1	6	57802752
excel.exe	14.0.7239.5000	Microsoft Office 2010	Office	4	186	57789299
adobe desktop service.exe	4.8.1.435	Adobe Creative Cloud	-	23	141	57774320
scriptedsandbox64.exe	14.0.25420.1	Microsoft Visual Studio 2015	-	1	44	57606144
searchui.exe	10.0.17763.592	Microsoft Windows Operating System	Operating System	16	170	57543035
microsoftedgecp.exe	11.0.17134.1345	Microsoft Edge	-	1	182	57440978
teams.exe	1.3.0.8663	Microsoft Teams	-	15	225	57427292
powershell_ise.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	19	162	57422233
windbg.exe	10.0.18362.1	Microsoft Windows Operating System	Operating System	2	2	57409536
perfwatson2.exe	16.0.29013.44	Microsoft Visual Studio	Development tool & Programming	1	6	57147392
onvue.exe	3.17.16.3	OnVUE	-	1	40	57134284
bplus.wtk2.exe	3037.1.80.17	Bloomberg LP bplus	-	27	616	57122425
watchdoxengine.exe	7.0.2.1	Workspaces	-	1	9	57060010
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	2	56885248
explorer.exe	10.0.16299.248	Microsoft Windows Operating System	Operating System	2	20	56850755
chrome.exe	78.0.3904.87	Google Chrome	Browser	339	481539	56662936
bibascassist64.exe	4.30.9310.0	Chime Windows Desktop	-	1	1	56623104
chrome.exe	70.0.3538.77	Google Chrome	Browser	1	625	56597938
vsixautoupdate.exe	16.3.2099.32382	unknown	Unknown	2	13	56492032
uninstall.exe	1.0.0.0	Zscaler	-	1	2	56360960
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	2	56360960
snagit32.exe	19.1.0.2653	Snagit	-	1	7	56323510
winword.exe	14.0.4762.1000	Microsoft Office 2010	Office	4	59	56321849
servicehub.identityhost.exe	2.1.97.45762	ServiceHub.Host.CLR.x86	-	13	788	56234591
waterfall.exe	3.20.2018.517	Waterfall Model	-	1	1	56098816
dwm.exe	10.0.17134.1098	Microsoft Windows Operating System	Operating System	1	15	55850715
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	3	55836672
pluginhost.exe	16.2.0.511	Skype Meetings App	-	12	19	55820288
microsoftedgecp.exe	11.0.16299.1653	Microsoft Edge	-	145	7515	55813266
code.exe	1.36.1.0	Visual Studio Code	-	2	99	55723166
ems.exe	44.1.26001.441	EMS	-	1	7	55574528
zoom.exe	4.6.20033.407	Zoom	-	29	1185	55526156
microsoftpdfreader.exe	11.0.16299.15	Microsoft Edge	-	2	40	55372677
webplatforminstaller.exe	7.1.51515.0	Microsoft Web Platform Extensions	-	1	1	55312384
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	5	55312384
waterfall.exe	3.20.2018.517	Waterfall Model	-	1	2	55050240
supportassistagent.exe	3.4.1.49	Service	Utility & Device driver	3	32	54962176
vmware-vmx.exe	14.0.0.24051	VMware Workstation	Virtualization	6	26	54893961
esrv_svc.exe	2.4.0.5718	unknown	-	4	78	54812871
patchrunner.exe	1.0.0.0	PatchRunner	-	1	1	54788096
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	4	54788096
backgrounddownload.exe	2.5.2139.10695	Visual Studio	-	35	909	54736067
searchui.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	9	68	54643694
flashback recorder.exe	5.29.0.4318	FlashBack Express 5	-	15	56	54579122
searchui.exe	10.0.16299.696	Microsoft Windows Operating System	Operating System	1	10	54552166
1password.exe	7.3.712.0	1Password	Security & Protection	1	7	54544676
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	2	54525952
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	3	54525952
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	2	54525952
mongod.exe	3.4.21.0	MongoDB Legacy Windows 7/Windows Server 2008 R2	-	1	7	54516589
erl.exe	0.0.0.0	unknown	-	5	16188	54286560
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	3	54263808
flashback player.exe	5.41.0.4544	FlashBack Express 5	-	1	1	54263808
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	1	54263808
rg.exe	0.0.0.0	unknown	-	7	430	54263808
ashelper.exe	3911.0.1911.2100	WebEx Application Sharing	Instant messaging & Video-conferencing	1	2	54263808
explorer.exe	10.0.17763.592	Microsoft Windows Operating System	Operating System	16	201	54261186
aomhost64.exe	4.6.19253.401	Zoom	-	4	74	54130005
scriptedsandbox64.exe	16.0.28916.169	Microsoft Visual Studio	Development tool & Programming	3	28	54011026
tiworker.exe	10.0.14393.3622	Microsoft Windows Operating System	Operating System	6	230	54008818
ashelper.exe	1032.1811.100.1600	WebEx Application Sharing	Instant messaging & Video-conferencing	1	1	54001664
vsixinstaller.exe	15.6.152.24297	unknown	-	1	2	54001664
wireshark-win64-3.2.3.exe	3.2.3.0	Wireshark	-	1	1	54001664
msra.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	1	3	54001664
dotnet.exe	3.100.220.6704	Microsoft .NET Framework	-	4	217	53965146
slack.exe	4.4.2.0	Slack	-	90	6724	53869730
chrome.exe	73.0.3683.86	Google Chrome	Browser	75	107961	53778045
brave.exe	80.1.5.123	Brave Browser	-	3	1259	53768383
chrome.exe	80.0.3987.116	Google Chrome	Browser	5	10911	53768241
postman.exe	7.6.0.0	Postman	-	1	19	53739520
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	1	53739520
zoom.exe	4.6.20559.413	Zoom	-	3	80	53687091
bipsync.exe	2.0.18.0	Bipsync Notes	-	2	131	53682607
mscorsvw.exe	4.7.2556.0	Microsoft .NET Framework	Operating System	455	66151	53675338
servicehub.datawarehousehost.exe	1.3.105.31841	ServiceHub.Host.CLR.x64	-	65	443	53574169
bladeconsole.exe	1.0.0.0	Blackstone.Analytics.Console	-	1	1	53477376
dls.exe	8.7.3.46663	DYMO Label Software	-	1	2	53346304
wavessvc64.exe	1.25.8.0	Waves MaxxAudio	-	17	118	53274985
slack.exe	4.1.2.0	Slack	-	1	38	53272401
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	1	53215232
winword.exe	14.0.7248.5000	Microsoft Office 2010	Office	1	1	53215232
tableau.exe	20194.19.1010.1202	Tableau 2019.4	-	2	18	53125551
presentationhost.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	4	88	52987380
dotnet.exe	3.100.119.60804	Microsoft .NET Framework	-	7	1991	52983834
dwm.exe	10.0.14393.0	Microsoft Windows Operating System	Operating System	11	68	52957854
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	4	52953088
explorer.exe	10.0.17763.771	Microsoft Windows Operating System	Operating System	1	7	52878189
gsoportfoliomonitor.exe	1.3.0.6	nVision Compliance	-	15	104	52873972
vbcscompiler.exe	2.8.2.62916	unknown	-	5	74	52822016
c9shell.exe	2.33.3.454	C9 Trader	-	3	12	52783786
microsoft.mashup.container.netfx40.exe	2.66.5376.1622	Microsoft Mashup Runtime	-	6	236	52755949
searchindexer.exe	7.0.17134.1365	Windows Search	-	1	14	52751438
transactions.exe	7.0.4.230	Investran Accounting	-	2	13	52741356
slack.exe	4.3.4.0	Slack	-	25	349	52653265
cb.exe	6.2.1.15466	Cb Response	-	36	331	52589514
onexcui.exe	6.2.11.3	Avaya one-X Communicator	-	195	1649	52446410
hpscan.exe	40.12.1161.1896	HP Digital Imaging	-	1	2	52428800
aomhost64.exe	4.6.17409.120	Zoom	-	8	31	52418229
postman.exe	7.19.1.0	Postman	-	5	75	52384810
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	1	52166656
marquee.exe	2016.23.87.26	FactSet	-	1	2	52166656
chrome.exe	79.0.3945.130	Google Chrome	Browser	2345	3793713	52139181
perfrptcontroller.exe	3.19.0.0	PerfRptController	-	2	17	52133888
dsapi.exe	6.0.7106.1402	PC-Doctor for Windows	-	17	119	52121194
explorer.exe	10.0.16299.1565	Microsoft Windows Operating System	Operating System	25	151	52046805
slack.exe	4.5.0.0	Slack	-	1	343	51966192
quickassist.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	2	4	51904512
explorer.exe	10.0.17763.348	Microsoft Windows Operating System	Operating System	55	1023	51812156
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	4	51773440
identityserver.exe	1.0.0.0	IdentityServer	-	1	13	51642368
sdservice.exe	8.3.0.730	SecureDoc	-	1	7	51567469
sourcetree.exe	3.1.3.3158	Sourcetree	-	1	2	51544064
vmware.exe	10.0.4.53926	VMware Workstation	Virtualization	2	18	51511296
powershell_ise.exe	10.0.14409.1005	Microsoft Windows Operating System	Operating System	2	8	51486720
powerpnt.exe	16.0.9126.2295	Microsoft Office 2016	Office	1	14	51460883
winword.exe	14.0.7246.5000	Microsoft Office 2010	Office	60	1143	51372834
postman.exe	7.20.1.0	Postman	-	7	145	51327061
code.exe	1.42.1.0	Visual Studio Code	-	11	1142	51312676
explorer.exe	10.0.17763.1007	Microsoft Windows Operating System	Operating System	2617	33666	51213385
maxxaudiopro.exe	1.0.108.0	MaxxAudio Pro	-	95	858	51172316
ptoneclk.exe	3908.4.1910.1500	Webex One-Click	Instant messaging & Video-conferencing	3	21	51160678
vs_setup_bootstrapper.exe	1.18.1059.4691	Visual Studio	-	3	4	51118080
logexpert.exe	1.6.13.0	unknown	-	1	7	51118080
upc.exe	104.1.0.7348	Uplay	-	1	14	51010413
chrome.exe	79.0.3945.79	Google Chrome	Browser	6	9559	51004719
landingpage.exe	14.0.1000.169	Microsoft SQL Server	-	1	4	50987008
searchui.exe	10.0.16299.1004	Microsoft Windows Operating System	Operating System	539	4882	50951172
python.exe	3.7.3150.1013	Python	-	11	830	50900657
iexplore.exe	11.0.17763.592	Internet Explorer	Browser	3	17	50817385
slack.exe	4.3.2.0	Slack	-	2	406	50777102
dropbox.exe	94.4.384.0	Dropbox	-	3	108	50704011
searchui.exe	10.0.17763.404	Microsoft Windows Operating System	Operating System	7	99	50594460
backgrounddownload.exe	2.1.3096.46871	Visual Studio	-	2	191	50593792
brave.exe	80.1.5.122	Brave Browser	-	1	193	50549558
aomhost64.exe	4.6.17944.223	Zoom	-	1	11	50522298
patchrunner.exe	1.0.0.0	PatchRunner	-	1	2	50331648
prepservice.exe	20201.20.326.1623	Tableau 2020.1	-	1	1	50331648
gitkraken.exe	7.1.13.0	GitKraken	-	2	47	50331648
searchindexer.exe	7.0.16299.1387	Windows Search	Operating System	4	31	50322711
iastordatamgrsvc.exe	15.7.5.1025	IAStorDataSvc	Utility & Device driver	2	14	50238025
omnisharp.exe	1.34.0.0	OmniSharp	-	4	25	50229411
explorer.exe	10.0.16299.125	Microsoft Windows Operating System	Operating System	5	35	50078866
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	3	50069504
servicehub.datawarehousehost.exe	1.2.60.51671	ServiceHub.Host.CLR.x64	-	5	29	49998506
zoom.exe	4.1.30528.821	Zoom Meetings	-	27	608	49841191
explorer.exe	6.1.7601.23537	Microsoft Windows Operating System	Operating System	14	268	49705200
ribbons.scr	10.0.17763.1	Microsoft Windows Operating System	Operating System	33	38	49695012
slack.exe	4.5.0.0	Slack	-	2	273	49671606
pgadmin4.exe	4.20.0.0	pgAdmin 4	-	2	6	49621674
razer synapse 3.exe	3.1.627.5	Razer Synapse 3	-	4	109	49561600
waterfall.exe	3.20.2018.517	Waterfall Model	-	1	1	49545216
abatadmin.exe	9.0.4.7160	ActiveBatch V9	-	55	350	49465160
wsldsadministrator.exe	11.7.1.2039	WSO Administrator - RELEASE-11.7	-	5	17	49394868
explorer.exe	10.0.17763.831	Microsoft Windows Operating System	Operating System	435	5777	49340698
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	1	49283072
searchui.exe	10.0.16299.98	Microsoft Windows Operating System	Operating System	5	35	49249367
resharpertestrunner32c.exe	2019.2.3.0	ReSharperTestRunner	-	1	3	49108309
kdiff3.exe	0.0.0.0	unknown	Unknown	5	9	49002203
visio.exe	14.0.4756.1000	Microsoft Office 2010	Office	1	13	48926720
wmplayer.exe	12.0.16299.15	Microsoft Windows Operating System	Operating System	27	73	48828839
winword.exe	16.0.11929.20606	Microsoft Office	Office	1	8	48775168
vsixautoupdate.exe	16.5.2047.25204	unknown	-	15	74	48630988
bcua-service.exe	4.6.1.36634	Blue Coat Unified Agent	-	1	3	48584021
winword.exe	16.0.11328.20468	Microsoft Office	Office	1	8	48562176
postman.exe	7.21.0.0	Postman	-	3	16	48496640
servicehub.vsdetouredhost.exe	1.4.17.24521	ServiceHub.Host.CLR.x86	-	4	136	48453658
winword.exe	14.0.7246.5000	Microsoft Office 2010	Office	3	49	48338394
chrome.exe	76.0.3809.87	Google Chrome	Browser	2	4223	48288920
fdsbrowser.exe	2016.8.138.82	unknown	-	2	254	48175104
vsixautoupdate.exe	16.1.3132.681	unknown	Unknown	3	22	48168960
vsixautoupdate.exe	16.4.1057.37368	unknown	Unknown	16	88	48075829
ashelper.exe	3911.0.1911.2100	WebEx Application Sharing	Instant messaging & Video-conferencing	2	3	48059733
searchindexer.exe	7.0.7601.24275	Windows Search	Operating System	166	1400	48047713
teams.exe	1.3.0.3564	Microsoft Teams	-	7	92	48000582
rssutil.exe	7.8.3.5	Windows Client Utility	-	2335	16743	47977364
mfpmp.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	3	19	47699285
plthub.exe	3.13.52466.39526	Plantronics Software	-	1	8	47513600
ems.exe	44.1.20000.384	EMS	-	23	110	47323729
dtswizard.exe	14.0.500.272	Microsoft SQL Server	Data management & Query	1	3	47273301
onenote.exe	16.0.11328.20512	Microsoft OneNote	-	34	186	47255647
explorer.exe	10.0.16299.637	Microsoft Windows Operating System	Operating System	14	162	47214466
winword.exe	16.0.11929.20562	Microsoft Office	Office	76	660	47213386
previewprocessingservice.exe	13.0.1701.8	Microsoft SQL Server	Data management & Query	4	23	47205865
zoom.exe	4.5.3284.828	Zoom Meetings	-	3540	135283	47200859
bjnappcapture64.exe	3.19.353.0	Blue Jeans Capture Application	-	3	13	47185920
tabprotosrv.exe	20201.20.219.753	Tableau 2020.1	-	2	15	47185920
dashlaneplugin.exe	6.2007.0.32704	Dashlane	-	4	58	47150277
chrome.exe	79.0.3945.117	Google Chrome	Browser	4	5418	47056161
postman.exe	7.16.1.0	Postman	-	2	28	46863281
firefox.exe	66.0.5.7066	Firefox	Browser	1	20	46792704
microsoft.aad.brokerplugin.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	2	5	46749013
todoist.universal.exe	1.1.9.0	unknown	-	1	6	46705322
excel.exe	16.0.11929.20562	Microsoft Office	Office	64	3893	46674490
setup.exe	12.0.77.3	unknown	Graphics & Imaging	1	6	46661632
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	5	46661632
searchindexer.exe	7.0.18362.329	Windows Search	Operating System	2	23	46593246
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	3	46574250
tabprotosrv.exe	20201.20.326.1623	Tableau 2020.1	-	1	32	46518272
excel.exe	16.0.11929.20606	Microsoft Office	Office	8	654	46490709
maxxaudiopro.exe	1.0.92.0	MaxxAudio Pro	-	7	31	46399488
mstarawd.exe	3.19.0.0	unknown	Unknown	1	3	46355797
sql2019-ssei-expr.exe	15.2002.4709.1	Microsoft Sql Server Installer	-	2	55	46323227
dreamweaver.exe	20.1.0.15211	Adobe Dreamweaver 2020	-	1	5	46281523
firefox.exe	72.0.2.7321	Firefox	Browser	4	40	46237286
maxxaudiopro.exe	1.0.99.0	MaxxAudio Pro	-	43	256	46215016
microsoftedgecp.exe	11.0.16299.1715	Microsoft Edge	-	1	40	46150451
nugetpackageexplorer.exe	5.6.40.44811	NuGetPackageExplorer (Release) (x64)	-	1	9	46108216
perfwatson2.exe	16.0.29108.95	Microsoft Visual Studio	Development tool & Programming	2	30	46012614
emacs.exe	26.2.0.0	Emacs	-	1	2	45875200
searchindexer.exe	7.0.17763.1007	Windows Search	-	2581	26409	45765337
chrome.exe	74.0.3729.108	Google Chrome	Browser	129	161226	45678187
alteryxenginecmd.exe	2020.1.2.24185	Alteryx	-	2	596	45664486
dtswizard.exe	14.0.1000.169	Microsoft SQL Server	Data management & Query	1	1	45613056
microsoft.visualstudio.web.host.exe	16.0.29230.61	Microsoft Visual Studio	-	1	2	45613056
vs_setup_bootstrapper.exe	2.5.2141.57745	Visual Studio	-	9	17	45586841
agent.exe	6.13.0.0	Datadog Agent	-	1	7	45510070
jetbrains.dotcover.workspacehost.exe	777.0.0.0	dotCover\Core	-	1	21	45466380
ot6420200486pch_20200216.upd	2.2.0.0	Bloomberg Finance L.P. Upd	-	20	37	45464110
chrome.exe	80.0.3987.149	Google Chrome	Browser	418	714627	45446139
msaccess.exe	16.0.11328.20512	Microsoft Office	Office	8	69	45421909
wavessvc64.exe	1.16.6.0	Waves MaxxAudio	-	3	29	45389329
wfica32.exe	14.9.8000.28	Citrix Receiver	-	394	3835	45378142
airobin.exe	24.0.2.373	AIRobin 2020	-	3	8	45360274
microsoft.mashup.container.netfx45.exe	2.72.5556.801	Microsoft Mashup Runtime	-	1	1	45350912
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	4	45350912
emsystem.exe	10.1.789.3	Ivanti Environment Manager 10.1 HF3 (FR4)	-	3865	39979	45146361
snagiteditor.exe	20.1.0.4965	Snagit	-	3	24	45131618
servicehub.datawarehousehost.exe	1.4.17.24521	ServiceHub.Host.CLR.x64	-	2	8	45121536
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	1	45088768
ruby.exe	2.4.4.296	Ruby interpreter 2.4.4p296 [x64-mingw32]	-	1	8	45088768
searchindexer.exe	7.0.17763.831	Windows Search	Operating System	79	1061	45087676
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	11	45041105
lync.exe	16.0.11328.20438	Microsoft Office	Office	17	75	44902645
flashback player.exe	5.41.0.4534	FlashBack Express 5	-	1	2	44826624
pythonw.exe	3.6.3150.1013	Python	-	7	709	44820275
groove.exe	16.0.12008.20000	Microsoft Office	Office	1	11	44802792
winword.exe	16.0.11328.20554	Microsoft Office	Office	4	28	44731596
ashelper.exe	3905.1700.2001.600	WebEx Application Sharing	Instant messaging & Video-conferencing	1	1	44564480
wmplayer.exe	12.0.7601.24499	Microsoft Windows Operating System	Operating System	6	10	44555117
servicehub.datawarehousehost.exe	1.4.53.46001	ServiceHub.Host.CLR.x64	-	1	7	44489581
sublime_merge.exe	1.0.0.1	Sublime Merge	-	1	4	44449792
msaccess.exe	16.0.11929.20562	Microsoft Office	Office	2	5	44367872
ashelper.exe	3911.0.1911.2100	WebEx Application Sharing	Instant messaging & Video-conferencing	2	3	44302336
administration.exe	2016.1.4.213	Administration	-	5	9	44227437
excel.exe	16.0.12430.20184	Microsoft Office	Office	1	29	44211941
chrome.exe	81.0.4044.92	Google Chrome	Browser	27	41059	44125048
gsoportfoliomonitor.exe	1.4.0.0	nVision Compliance	-	5	31	44092620
chrome.exe	80.0.3987.162	Google Chrome	Browser	16	26940	44085015
vsixinstaller.exe	15.9.3043.37206	unknown	Unknown	6	13	43921035
documentworkflowengine.exe	1.0.0.0	DocumentWorkflowEngine	-	1	6	43887274
servicehub.datawarehousehost.exe	2.3.88.5166	ServiceHub.Host.CLR.x64	-	8	32	43849728
searchindexer.exe	7.0.17763.771	Windows Search	Operating System	1	7	43815497
blend.exe	14.0.25420.1	Microsoft Visual Studio 2015	-	4	7	43778048
python.exe	3.7.6150.1013	Python	-	10	1846	43750719
chrome.exe	80.0.3987.122	Google Chrome	Browser	46	68018	43708198
chrome.exe	79.0.3945.117	Google Chrome	Browser	1	331	43614117
microsoftedgecp.exe	11.0.16299.1268	Microsoft Edge	-	5	179	43572452
ldeviceinstaller.exe	0.0.0.0	unknown	Utility & Device driver	1	1	43515904
chrome.exe	80.0.3987.132	Google Chrome	Browser	115	198357	43469653
powerpnt.exe	16.0.11328.20554	Microsoft Office	Office	3	18	43381191
whatsapp.exe	0.3.3793.0	WhatsApp	-	1	13	43253760
explorer.exe	10.0.18362.693	Microsoft Windows Operating System	Operating System	5	60	43192593
upgrade.exe	6.2.2.24967	Cb Response	-	3914	36787	43168179
cypress.exe	4.4.0.11979	Cypress	-	1	41	43162648
arelliaacsvc.exe	8.0.1750.0	Arellia Application Control	-	12	93	43097319
starleaf.exe	3.14.32.0	StarLeaf	-	1	7	43066514
searchindexer.exe	7.0.17763.652	Windows Search	Operating System	4	18	42969770
com.docker.service	2.1.0.40693	Docker.Service	-	7	49	42968879
msvsmon.exe	16.0.28917.181	Microsoft Visual Studio	Development tool & Programming	2	10	42952294
servicehub.identityhost.exe	2.0.64.47847	ServiceHub.Host.CLR.x86	-	3	88	42925359
searchindexer.exe	7.0.7601.24542	Windows Search	-	3	39	42912636
python.exe	3.6.3150.1013	Python	-	18	5899	42910990
communicator.exe	3.5.6907.268	Microsoft Office Communicator 2007 R2	Office	229	1988	42873443
chrome.exe	80.0.3987.163	Google Chrome	Browser	253	327313	42866049
code.exe	1.42.0.0	Visual Studio Code	-	4	399	42852370
cscript.exe	5.812.10240.16384	Microsoft  Windows Script Host	Operating System	260	5140	42780711
snagiteditor.exe	19.1.6.5031	Snagit	-	1	8	42770432
choco.exe	0.10.15.0	chocolatey	-	3	11	42729472
dashlaneplugin.exe	6.2013.0.33804	Dashlane	-	1	9	42693063
powershell.exe	10.0.17134.1	Microsoft Windows Operating System	Operating System	3	1865	42665707
slack.exe	4.4.2.0	Slack	-	45	4317	42657032
